"brewery_id","brewery_name","review_time","review_overall","review_aroma","review_appearance","review_profilename","beer_style","review_palate","review_taste","beer_name","beer_abv","beer_beerid","id"
184,"Bierbrouwerij De Koningshoeven B.V.",1245476843,4,4,3.5,"ChainGangGuy","Quadrupel (Quad)",4,4,"La Trappe Quadrupel (Koningshoeven / Dominus)",10,1402,1
192,"New Belgium Brewing",1232935341,4,3,4,"ChainGangGuy","American Amber / Red Ale",3,3.5,"Fat Tire Amber Ale",5.2,607,2
2210,"Firestone Walker Brewing Co.",1273891780,3,3,3.5,"womencantsail","American Pale Wheat Ale",3.5,3,"Solace",6,57242,3
1114,"Bullfrog Brewery",1276460993,4,4.5,4,"womencantsail","American Wild Ale",5,4.5,"Black Cherry Bomb",NA,44934,4
6045,"Iron Hill Brewery & Restaurant",1304735131,4,4.5,4,"akorsak","Saison / Farmhouse Ale",4,4.5,"Samurai Saison",6.8,68766,5
130,"Boulder Beer / Wilderness Pub",1202923776,3.5,3.5,4.5,"ChainGangGuy","American Barleywine",4.5,3.5,"Killer Penguin Barleywine",10,9845,6
99,"Matt Brewing Company",1164074421,3.5,3.5,4,"akorsak","Euro Dark Lager",3.5,3,"Saranac Chocolate Amber Lager",5.5,6796,7
634,"Brouwerij Van Eecke N.V.",1122296722,3.5,4,4,"BuckeyeNation","Belgian Pale Ale",3.5,3.5,"Kapittel Blond",6.5,13566,8
52,"Buzzards Bay Brewing",1278100871,4,3.5,4,"womencantsail","American Blonde Ale",4,3.5,"Just Beer John Beere",4.6,54662,9
13065,"Telegraph Brewing Company",1225154985,3.5,3.5,3.5,"ChainGangGuy","American Porter",3,3.5,"Stock Porter",5.8,30588,10
13307,"Mikkeller ApS",1290860599,3.5,3.5,4,"BuckeyeNation","American IPA",3.5,3.5,"Nugget Single Hop IPA",6.9,49650,11
16393,"Mission Brewery",1259777389,4,4,4,"womencantsail","American IPA",3.5,3.5,"Mission IPA",6.8,39477,12
173,"Hair of the Dog Brewing Company / Brewery and Tasting Room",1287214093,4,4,4,"womencantsail","American Strong Ale",4.5,4.5,"Fred From The Wood",10,20768,13
601,"Obolon Brewery",1170857643,2.5,3,3.5,"BuckeyeNation","Euro Pale Lager",3,2.5,"Obolon Magnat",5.3,14664,14
1489,"Královský Pivovar Krušovice a.s.",1314556169,2.5,2.5,3.5,"womencantsail","Czech Pilsener",3,2,"Krušovice Imperial",5,12475,15
2113,"Raccoon River Brewing Company",1215805943,3.5,4,3.5,"BuckeyeNation","Witbier",3,3.5,"Belgian White Ale",NA,43678,16
447,"Pabst Brewing Company",1305272283,3,3,3.5,"womencantsail","American Adjunct Lager",3.5,3,"Primo",4.65,43981,17
283,"Brouwerij Liefmans",1177935251,3.5,4,4,"BuckeyeNation","Fruit / Vegetable Beer",4,4,"De Boomgaard Kriek",4.1,29117,18
637,"Brasserie Dupont sprl",1161783250,4.5,4.5,4.5,"BuckeyeNation","Saison / Farmhouse Ale",4,4.5,"Saison Dupont",6.5,1717,19
187,"Brouwerij Lindemans",1112970397,4,4.5,4,"BuckeyeNation","Lambic - Fruit",4,4.5,"Lindemans Cassis",4,601,20
16866,"The Bruery",1270262933,4,5,4,"womencantsail","American Double / Imperial Pilsner",4,4,"Humulus Lager With Centennial Hops",7.2,57277,21
3,"Abita Brewing Co.",1249524188,2.5,2.5,3,"womencantsail","American Pale Ale (APA)",3,2,"Restoration Pale Ale",5,41195,22
60,"Cooperstown Brewing Company",1153964392,3.5,3.5,4,"akorsak","American Blonde Ale",3.5,3,"Nine Man Ale Golden Ale",4.3,175,23
25186,"The Farmers' Cabinet",1324239937,3.5,3.5,4,"akorsak","Belgian Dark Ale",4,3.5,"D'rye Field Stout",5.9,73962,24
7406,"Bitter Root Brewing",1211992736,2.5,3.5,4,"ChainGangGuy","American Porter",3,2.5,"Porter",5.6,17432,25
140,"Sierra Nevada Brewing Co.",1309291636,2,3,4.5,"ChainGangGuy","American Double / Imperial IPA",3.5,2.5,"Best Of Beer Camp: Double IPA - Beer Camp #29",8.5,68958,26
13307,"Mikkeller ApS",1211287081,4.5,4.5,4.5,"BuckeyeNation","American Pale Ale (APA)",4,4.5,"All Others Pale",6,41009,27
